Date,T°C (12-15h),T°C poulailler,Pluie (0 = non renseigné),Météo,commentaires,Nom de la poule,Ponte,Etat de l'oeuf,Evènement,Nombre d'oeufs
12/10/2023,31,17,0,beau,,Joséphine,x,RAS,RAS,1
13/10/2023,30,18,0,beau,,Joséphine,,no egg,RAS,0
14/10/2023,29,18,0,beau,,Joséphine,x,RAS,RAS,1
15/10/2023,24,16,5,couvert/pluie,,Joséphine,,no egg,RAS,0
16/10/2023,19,11,0,éclaircies,,Joséphine,x,RAS,RAS,1
17/10/2023,19,15,0,éclaircies,,Joséphine,,no egg,RAS,0
18/10/2023,26,17,0,beau/vent,,Joséphine,x,RAS,RAS,1
19/10/2023,26,17,3,couvert/pluie,,Joséphine,x,RAS,RAS,1
20/10/2023,25,17,13,couvert/pluie,,Joséphine,,no egg,RAS,0
21/10/2023,20,14,3,éclaircies/pluie,,Joséphine,x,RAS,RAS,1
22/10/2023,19,11,0,beau,,Joséphine,,no egg,RAS,0
23/10/2023,15,13,0,maussade,,Joséphine,x,RAS,RAS,1
24/10/2023,20,14,0,éclaircies,Albertine malade/rhume,Joséphine,,no egg,RAS,0
25/10/2023,20,11,0,pluie/éclaircies,avicoryl,Joséphine,x,RAS,RAS,1
26/10/2023,18,15,1,couvert/pluie,,Joséphine,,no egg,RAS,0
27/10/2023,15,13,8,couvert/pluie,,Joséphine,x,RAS,RAS,1
28/10/2023,18,10,0,beau,,Joséphine,,no egg,RAS,0
29/10/2023,19,14,0,beau,,Joséphine,x,RAS,RAS,1
30/10/2023,17,14,0,couvert,,Joséphine,,no egg,RAS,0
31/10/2023,15,10,9,couvert/pluie,,Joséphine,x,RAS,RAS,1
01/11/2023,19,10,0,beau,,Joséphine,,no egg,RAS,0
02/11/2023,19,10,5,éclaircies/pluie,,Joséphine,x,RAS,RAS,1
03/11/2023,13,8,17,pluie,,Joséphine,,no egg,RAS,0
04/11/2023,10,9,5,pluie,,Joséphine,x,RAS,RAS,1
05/11/2023,13,9,6,pluie/éclaircies,,Joséphine,,no egg,RAS,0
06/11/2023,19,9,0,beau,,Joséphine,x,RAS,RAS,1
07/11/2023,12,8,8,averses/pluie,,Joséphine,,no egg,RAS,0
08/11/2023,17,5,0,beau,,Joséphine,x,RAS,RAS,1
09/11/2023,19,6,0,beau,petite gelée matinale,Joséphine,,no egg,RAS,0
10/11/2023,13,9,6,pluie/beau,,Joséphine,x,RAS,RAS,1
11/11/2023,11,9,7,pluie/éclaircies,,Joséphine,,no egg,RAS,0
12/11/2023,12,12,0,pluie,,Joséphine,,no egg,RAS,0
13/11/2023,17,11,0,couvert/éclaircies,,Joséphine,,no egg,RAS,0
14/11/2023,24,12,0,beau,,Joséphine,,no egg,RAS,0
15/11/2023,24,14,5,beau/pluie,,Joséphine,,no egg,RAS,0
16/11/2023,16,10,5,pluie/éclaircies,,Joséphine,,no egg,RAS,0
